IDLE 		 N 		 CO
87.86 		 1 		 46
44.68 		 2 		 66
58.11 		 3 		 104
50.40 		 4 		 121
48.08 		 5 		 133
43.46 		 6 		 146
33.94 		 7 		 161
17.02 		 8 		 132
28.16 		 9 		 168
25.43 		 10 		 180
21.33 		 11 		 197
19.15 		 12 		 205
19.94 		 13 		 206
5.25 		 14 		 133
14.08 		 15 		 202
7.05 		 16 		 206
4.08 		 17 		 207
7.92 		 18 		 237
2.26 		 19 		 210
1.63 		 20 		 165
5.19 		 21 		 199
1.04 		 22 		 191
2.97 		 23 		 218
1.12 		 24 		 233
1.04 		 25 		 185
0.00 		 26 		 156
1.02 		 27 		 233
2.45 		 28 		 212
0.93 		 29 		 220
0.81 		 30 		 254
0.51 		 31 		 223
0.00 		 32 		 201
0.40 		 33 		 251
0.50 		 34 		 252
0.50 		 35 		 255
0.10 		 36 		 255
0.30 		 37 		 194
0.10 		 38 		 256
0.10 		 39 		 249
0.20 		 40 		 246
